Label,Action,Action Parameter X,Action Parameter Y,Action Parameter Z,Agent Position X,Agent Position Y,Agent Position Z,Ball Position X,Ball Position Y,Ball Position Z,Teammate1 Position X,Teammate1 Position Y,Teammate1 Position Z,Teammate2 Position X,Teammate2 Position Y,Teammate2 Position Z,Opponent1 Position X,Opponent1 Position Y,Opponent1 Position Z,Opponent2 Position X,Opponent2 Position Y,Opponent2 Position Z,Opponent3 Position X,Opponent3 Position Y,Opponent3 Position Z,Ball Possessed,Team With Ball,Reward
GoToBall,GoToBall,0.09399033,1.427624,0.09398825,3.873841,0.1619041,-10.97103,0,0.72,1.103682E-07,14.45939,0.1618665,-10.99029,-4.427365,0.1619281,-10.95877,-5.792175,0.1833319,23.1318,17.37472,0.1833319,20.68639,11.21652,0.1833319,8.447501,False,None,0
Move,Move,-9.4929,-3.849873E-07,4.229508,-4.427365,0.1619281,-10.95877,0,0.72,1.103682E-07,3.873841,0.1619041,-10.97103,14.45939,0.1618665,-10.99029,-5.792175,0.1833319,23.1318,17.37472,0.1833319,20.68639,11.21652,0.1833319,8.447501,False,None,0
Move2,Move,1.785794,-2.729435E-07,3.289617,14.45939,0.1618665,-10.99029,0,0.72,1.103682E-07,3.873841,0.1619041,-10.97103,-4.427365,0.1619281,-10.95877,-5.792175,0.1833319,23.1318,17.37472,0.1833319,20.68639,11.21652,0.1833319,8.447501,False,None,0
Kick,Kick,-0.8459027,1,55.17158,-8.673306,0.1833319,31.72964,-8.096807,1.183332,33.16844,7.034534,0.1833319,42.49086,4.118511,0.1833319,40.71852,-10.32199,0.1833319,29.83206,11.12219,0.1833319,27.97993,-4.606404,0.1833319,19.75704,False,None,0
Kick2,Kick,-29.41859,1,14.19236,-18.76555,0.1655713,-9.093423,-18.92734,1.165571,-7.551891,-25.96306,0.1719559,-5.824525,-32.96427,0.1833319,1.17531,-7.056274,0.1833319,9.937717,10.34835,0.1833319,23.89615,-16.25544,0.1620621,-10.89014,False,None,0
GoToBall2,GoToBall,-30.9224,1.403195,18.13989,-32.36219,0.1833319,6.272903,-30.75457,0.7199997,18.29311,-25.84981,0.1826103,-0.3694704,-19.3823,0.1770205,-3.231481,-5.553476,0.1833319,19.4749,11.18984,0.1833319,28,-16.872,0.177532,-2.969572,False,None,0
Move3,Move,-31.48636,1,40.5093,-30.75457,0.1833319,18.29311,-30.83032,1.183332,19.84126,-24.14227,0.1833319,17.34007,-18.56747,0.1833319,14.67461,-4.210155,0.1833319,28,11.18984,0.1833319,28,-21.49792,0.1833319,10.90931,True,purpleAgent,0
Kick23,Kick,-2.725685,1,47.08854,-31.48636,0.1833319,40.5093,-31.18666,1.183332,42.03005,4.2,0.1833319,40.7,7.2,0.1833319,42.7,-4.210155,0.1833319,28,11.18984,0.1833319,28,-33.42582,0.1833319,36.72387,False,None,0
Move4,Move,2.913663,-4.060022E-06,35.05793,-1.436621,0.1833319,9.286736,-2.34713,1.183332,10.54112,-5.792977,0.1833319,13.51848,-9.149983,0.1833319,28.3735,-4.210155,0.1833319,28,11.18984,0.1833319,28,4.682154,0.1833319,12.35483,True,purpleAgent,0
Kick234,Kick,0.8459032,1,54.41969,2.913663,0.1833319,35.05793,3.424572,1.183332,36.52131,-9.234255,0.1833319,38.58142,-3.15746,0.1833319,43.94809,-0.6609792,0.1833319,23.53663,-1.69363,0.1833319,32.88609,-4.450935,0.1833319,19.46437,False,None,0

